value,timestamp
100.0,2016-08-17 01:36:49
100.0,2016-08-17 02:06:47
100.0,2016-08-17 06:36:37
100.0,2016-08-17 07:06:35
99.0,2016-08-17 07:36:34
99.0,2016-08-17 08:06:33
100.0,2016-08-17 01:06:49
100.0,2016-08-17 02:36:46
100.0,2016-08-17 03:06:45
100.0,2016-08-17 03:36:44
100.0,2016-08-17 04:06:42
100.0,2016-08-17 04:36:41
100.0,2016-08-17 05:06:40
100.0,2016-08-17 05:36:39
100.0,2016-08-17 06:06:38
99.0,2016-08-17 08:36:32
99.0,2016-08-17 09:06:31
99.0,2016-08-17 09:36:29
99.0,2016-08-17 10:36:27
98.0,2016-08-17 15:06:17
98.0,2016-08-17 13:06:21
98.0,2016-08-17 13:36:20
98.0,2016-08-17 14:06:19
98.0,2016-08-17 14:36:18
99.0,2016-08-17 10:06:28
99.0,2016-08-17 11:36:24
98.0,2016-08-17 12:06:23
98.0,2016-08-17 12:36:22
98.0,2016-08-17 16:06:15
99.0,2016-08-17 11:06:25
98.0,2016-08-17 15:36:16
98.0,2016-08-17 16:36:13
98.0,2016-08-17 17:06:13
98.0,2016-08-17 18:06:12
98.0,2016-08-17 18:36:11
98.0,2016-08-17 19:06:10
98.0,2016-08-17 19:36:08
98.0,2016-08-17 20:06:08
100.0,2016-08-18 00:36:00
100.0,2016-08-18 01:06:00
100.0,2016-08-18 04:35:54
100.0,2016-08-18 05:05:54
99.0,2016-08-17 21:06:07
100.0,2016-08-18 03:05:57
98.0,2016-08-17 20:36:07
99.0,2016-08-17 21:36:06
100.0,2016-08-18 00:06:01
100.0,2016-08-18 02:35:58
99.0,2016-08-17 22:06:04
100.0,2016-08-17 22:36:03
100.0,2016-08-17 23:06:02
100.0,2016-08-17 23:36:01
100.0,2016-08-18 01:35:59
100.0,2016-08-18 02:05:59
100.0,2016-08-18 03:35:57
100.0,2016-08-18 04:05:56
100.0,2016-08-18 05:35:52
100.0,2016-08-18 06:05:51
99.0,2016-08-18 06:35:50
98.0,2016-08-18 13:05:35
99.0,2016-08-18 08:05:47
98.0,2016-08-18 10:05:41
98.0,2016-08-18 10:35:40
98.0,2016-08-18 09:35:42
98.0,2016-08-18 11:05:39
98.0,2016-08-18 11:35:38
98.0,2016-08-18 12:35:36
99.0,2016-08-18 07:05:48
98.0,2016-08-18 13:35:34
98.0,2016-08-18 14:05:32
98.0,2016-08-18 14:35:31
98.0,2016-08-18 15:05:29
99.0,2016-08-18 07:35:48
99.0,2016-08-18 08:35:45
99.0,2016-08-18 09:05:44
98.0,2016-08-18 12:05:37
96.0,2016-08-18 15:35:28
96.0,2016-08-18 16:05:28
96.0,2016-08-18 16:35:27
96.0,2016-08-18 17:05:26
96.0,2016-08-18 17:35:25
96.0,2016-08-18 18:05:23
96.0,2016-08-18 19:05:21
98.0,2016-08-18 21:05:16
98.0,2016-08-18 22:35:13
99.0,2016-08-19 00:05:10
98.0,2016-08-18 21:35:15
98.0,2016-08-18 23:35:12
99.0,2016-08-19 00:35:09
96.0,2016-08-18 19:35:20
96.0,2016-08-18 20:35:17
96.0,2016-08-18 18:35:22
96.0,2016-08-18 20:05:19
98.0,2016-08-18 22:05:14
99.0,2016-08-19 01:05:08
99.0,2016-08-19 01:35:08
100.0,2016-08-19 02:05:07
100.0,2016-08-19 03:05:10
100.0,2016-08-19 04:35:13
100.0,2016-08-19 03:35:09
100.0,2016-08-19 04:05:08
100.0,2016-08-19 05:35:21
100.0,2016-08-19 05:05:17
100.0,2016-08-19 02:35:06
